Section,Discharge,Depth,Surface_Width,Flow_Area,Velocity,Slope,Volume
3382,0,0,0,0,0,0,0
3382,0.002574259,0.01,0.278476355,0.02331024,0.009975272,3.74E-05,0.699307196
3382,0.005148518,0.02,0.556952709,0.04662048,0.019950545,7.47E-05,1.398614392
3382,0.007722776,0.03,0.835429064,0.06993072,0.029925817,0.000112091,2.097921588
3382,0.010297035,0.04,1.113905419,0.09324096,0.039901089,0.000149455,2.797228784
3382,0.012871294,0.05,1.392381774,0.1165512,0.049876362,0.000186818,3.49653598
3382,0.015445553,0.06,1.670858128,0.139861439,0.059851634,0.000224182,4.195843176
3382,0.018019812,0.07,1.949334483,0.163171679,0.069826907,0.000261545,4.895150372
3382,0.020594071,0.08,2.227810838,0.186481919,0.079802179,0.000298909,5.594457568
3382,0.023168329,0.09,2.506287193,0.209792159,0.089777451,0.000336273,6.293764764
3382,0.025742588,0.1,2.784763547,0.233102399,0.099752724,0.000373636,6.99307196
3382,0.028316847,0.100583997,3.063239902,0.256412639,0.109727996,0.000411,7.692379156
3382,0.039643586,0.11,3.105607101,0.286977769,0.124053596,0.0004607,8.609333048
3382,0.050970325,0.12,3.147974299,0.317542898,0.138379195,0.0005104,9.526286941
3382,0.062297063,0.13,3.190341498,0.348108028,0.152704795,0.0005601,10.44324083
3382,0.073623802,0.14,3.232708696,0.378673158,0.167030394,0.0006098,11.36019473
3382,0.084950541,0.15,3.275075895,0.409238288,0.181355994,0.0006595,12.27714862
3382,0.09627728,0.16,3.317443094,0.439803417,0.195681594,0.0007092,13.19410251
3382,0.107604019,0.17,3.359810292,0.470368547,0.210007193,0.0007589,14.1110564
3382,0.118930757,0.18,3.402177491,0.500933677,0.224332793,0.0008086,15.0280103
3382,0.130257496,0.19,3.444544689,0.531498806,0.238658392,0.0008583,15.94496419
3382,0.141584235,0.195071994,3.486911888,0.562063936,0.252983992,0.000908,16.86191808
3382,0.159282264,0.2,3.525392887,0.595625192,0.264032992,0.000934125,17.86875575
3382,0.176980294,0.21,3.563873886,0.629186447,0.275081991,0.00096025,18.87559342
3382,0.194678323,0.22,3.602354885,0.662747703,0.286130991,0.000986375,19.88243109
3382,0.212376353,0.23,3.640835884,0.696308959,0.297179991,0.0010125,20.88926876
3382,0.230074382,0.24,3.679316882,0.729870214,0.30822899,0.001038625,21.89610643
3382,0.247772411,0.25,3.717797881,0.76343147,0.31927799,0.00106475,22.9029441
3382,0.265470441,0.26,3.75627888,0.796992725,0.330326989,0.001090875,23.90978177
3382,0.28316847,0.268223991,3.794759879,0.830553981,0.341375989,0.001117,24.91661944
3382,0.306765843,0.27,3.836161878,0.865392655,0.350773989,0.001137583,25.96177965
3382,0.330363215,0.28,3.877563876,0.900231329,0.360171988,0.001158167,27.00693986
3382,0.353960588,0.29,3.918965875,0.935070002,0.369569988,0.00117875,28.05210008
3382,0.37755796,0.3,3.960367874,0.969908676,0.378967988,0.001199333,29.09726029
3382,0.401155333,0.31,4.001769872,1.00474735,0.388365987,0.001219917,30.1424205
3382,0.424752705,0.32,4.043171871,1.039586024,0.397763987,0.0012405,31.18758071
3382,0.448350078,0.33,4.08457387,1.074424697,0.407161987,0.001261083,32.23274092
3382,0.47194745,0.34,4.125975868,1.109263371,0.416559986,0.001281667,33.27790113
3382,0.495544823,0.35,4.167377867,1.144102045,0.425957986,0.00130225,34.32306135
3382,0.519142195,0.36,4.208779866,1.178940718,0.435355986,0.001322833,35.36822156
3382,0.542739568,0.37,4.250181864,1.213779392,0.444753985,0.001343417,36.41338177
3382,0.56633694,0.371855988,4.291583863,1.248618066,0.454151985,0.001364,37.45854198
3382,0.606789579,0.38,4.366477575,1.294759954,0.463005699,0.001375,38.84279862
3382,0.647242217,0.39,4.441371287,1.340901842,0.471859413,0.001386,40.22705525
